Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2008-04-25,Exitlong3,21.59,51,978.69,117.3,11.95,5.1,155.04,15.80,-54.06,-5.51,117.3,11.73,53
1,Entry long,2008-02-08,Long1,19.19,51,978.69,117.3,11.95,5.1,155.04,15.80,-54.06,-5.51,117.3,11.73,53
2,Exit long,2009-01-05,Exitlong1,18.09,55,1113.75,-124.3,-11.13,5.5,182.6,16.35,-286,-25.62,-7,-0.70,120
2,Entry long,2008-07-15,Long1,20.25,55,1113.75,-124.3,-11.13,5.5,182.6,16.35,-286,-25.62,-7,-0.70,120
3,Exit long,2009-12-30,Exitlong4,24.93,46,973.82,168.36,17.25,4.6,178.94,18.33,-51.52,-5.28,161.36,16.14,67
3,Entry long,2009-09-24,Long1,21.17,46,973.82,168.36,17.25,4.6,178.94,18.33,-51.52,-5.28,161.36,16.14,67
4,Exit long,2010-09-30,Exitlong3,26.85,52,1152.32,238.68,20.67,5.2,281.84,24.40,-50.44,-4.37,400.04,40.00,91
4,Entry long,2010-05-21,Long1,22.16,52,1152.32,238.68,20.67,5.2,281.84,24.40,-50.44,-4.37,400.04,40.00,91
5,Exit long,2011-07-12,Exitlong5,32.6,44,1391.72,38.28,2.75,4.4,107.8,7.73,-45.32,-3.25,438.32,43.83,20
5,Entry long,2011-06-13,Long1,31.63,44,1391.72,38.28,2.75,4.4,107.8,7.73,-45.32,-3.25,438.32,43.83,20
6,Exit long,2011-10-07,Exitlong3,29.91,51,1412.7,107.61,7.60,5.1,163.2,11.53,-154.53,-10.92,545.93,54.59,40
6,Entry long,2011-08-11,Long1,27.7,51,1412.7,107.61,7.60,5.1,163.2,11.53,-154.53,-10.92,545.93,54.59,40
7,Exit long,2012-03-12,Exitlong3,29.71,59,1537.54,209.45,13.60,5.9,254.29,16.51,-46.02,-2.99,755.38,75.54,52
7,Entry long,2011-12-23,Long1,26.06,59,1537.54,209.45,13.60,5.9,254.29,16.51,-46.02,-2.99,755.38,75.54,52
8,Exit long,2012-07-09,Exitlong3,29.1,64,1731.84,124.16,7.16,6.4,183.68,10.59,-113.92,-6.57,879.54,87.95,37
8,Entry long,2012-05-15,Long1,27.06,64,1731.84,124.16,7.16,6.4,183.68,10.59,-113.92,-6.57,879.54,87.95,37
9,Exit long,2013-01-11,Exitlong1,34.86,61,1873.92,246.44,13.13,6.1,257.42,13.71,-75.64,-4.03,1125.98,112.60,61
9,Entry long,2012-10-11,Long1,30.72,61,1873.92,246.44,13.13,6.1,257.42,13.71,-75.64,-4.03,1125.98,112.60,61
10,Exit long,2014-12-04,Exitlong3,41.89,52,2096.64,76.44,3.64,5.2,111.28,5.30,-233.48,-11.12,1202.42,120.24,103
10,Entry long,2014-07-10,Long1,40.32,52,2096.64,76.44,3.64,5.2,111.28,5.30,-233.48,-11.12,1202.42,120.24,103
11,Exit long,2015-11-05,Exitlong1,40.35,52,2164.24,-71.24,-3.29,5.2,185.12,8.54,-339.04,-15.65,1131.18,113.12,166
11,Entry long,2015-03-12,Long1,41.62,52,2164.24,-71.24,-3.29,5.2,185.12,8.54,-339.04,-15.65,1131.18,113.12,166
12,Exit long,2016-03-14,Exitlong1,38.7,60,2096.4,219.6,10.46,6,238.8,11.37,-111,-5.29,1350.78,135.08,43
12,Entry long,2016-01-11,Long1,34.94,60,2096.4,219.6,10.46,6,238.8,11.37,-111,-5.29,1350.78,135.08,43
13,Exit long,2018-03-01,Exitlong5,49.71,59,2325.19,601.8,25.85,5.9,807.12,34.67,-106.79,-4.59,1952.58,195.26,447
13,Entry long,2016-05-20,Long1,39.41,59,2325.19,601.8,25.85,5.9,807.12,34.67,-106.79,-4.59,1952.58,195.26,447
14,Exit long,2018-11-12,Exitlong5,49.22,65,2918.5,274.3,9.39,6.5,465.4,15.93,-154.05,-5.27,2226.88,222.69,152
14,Entry long,2018-04-09,Long1,44.9,65,2918.5,274.3,9.39,6.5,465.4,15.93,-154.05,-5.27,2226.88,222.69,152
15,Exit long,2019-02-06,Exitlong1,51.26,70,3209.5,371.7,11.57,7,391.3,12.18,-244.3,-7.60,2598.58,259.86,33
15,Entry long,2018-12-18,Long1,45.85,70,3209.5,371.7,11.57,7,391.3,12.18,-244.3,-7.60,2598.58,259.86,33
16,Exit long,2019-07-10,Exitlong4,60.15,66,3572.58,390.72,10.93,6.6,416.46,11.65,-282.48,-7.90,2989.3,298.93,39
16,Entry long,2019-05-14,Long1,54.13,66,3572.58,390.72,10.93,6.6,416.46,11.65,-282.48,-7.90,2989.3,298.93,39
17,Exit long,2021-04-14,Exitlong4,76.82,76,3961.88,1868.84,47.13,7.6,1913.68,48.26,-942.4,-23.76,4858.14,485.81,411
17,Entry long,2019-08-26,Long1,52.13,76,3961.88,1868.84,47.13,7.6,1913.68,48.26,-942.4,-23.76,4858.14,485.81,411
18,Exit long,2022-08-15,Exitlong1,79.11,65,5781.1,-645.45,-11.16,6.5,1120.6,19.37,-1639.3,-28.34,4212.69,421.27,173
18,Entry long,2021-12-06,Long1,88.94,65,5781.1,-645.45,-11.16,6.5,1120.6,19.37,-1639.3,-28.34,4212.69,421.27,173
19,Exit long,2022-11-23,Exitlong1,82.56,82,5172.56,1589.16,30.70,8.2,1622.78,31.35,-119.72,-2.31,5801.85,580.18,37
19,Entry long,2022-10-03,Long1,63.08,82,5172.56,1589.16,30.70,8.2,1622.78,31.35,-119.72,-2.31,5801.85,580.18,37
20,Exit long,2023-04-10,Exitlong4,93.76,78,6732.96,572.52,8.50,7.8,757.38,11.24,-336.18,-4.99,6374.37,637.44,32
20,Entry long,2023-02-22,Long1,86.32,78,6732.96,572.52,8.50,7.8,757.38,11.24,-336.18,-4.99,6374.37,637.44,32
21,Exit long,2024-09-27,Exitlong3,168.74,63,7314.3,3310.02,45.23,6.3,3643.92,49.80,-1064.07,-14.54,9684.39,968.44,288
21,Entry long,2023-08-07,Long1,116.1,63,7314.3,3310.02,45.23,6.3,3643.92,49.80,-1064.07,-14.54,9684.39,968.44,288
22,Exit long,2025-02-24,Exitlong5,169.96,62,10522.02,9.3,0.09,6.2,1378.88,13.10,-1075.08,-10.21,9693.69,969.37,44
22,Entry long,2024-12-17,Long1,169.71,62,10522.02,9.3,0.09,6.2,1378.88,13.10,-1075.08,-10.21,9693.69,969.37,44
23,Exit long,2025-06-02,Exitlong1,166.57,84,10688.16,3295.32,30.82,8.4,3323.88,31.09,-4.2,-0.04,12989.01,1298.90,28
23,Entry long,2025-04-22,Long1,127.24,84,10688.16,3295.32,30.82,8.4,3323.88,31.09,-4.2,-0.04,12989.01,1298.90,28
24,Exit long,2026-06-03,Exitlong3,230.33,62,13968.6,305.66,2.19,6.2,7462.94,53.41,-5627.74,-40.28,13294.67,1329.47,189
24,Entry long,2025-09-02,Long1,225.3,62,13968.6,305.66,2.19,6.2,7462.94,53.41,-5627.74,-40.28,13294.67,1329.47,189
25,Exit long,Open,Open,—,99,14277.78,1431.54,10.02,4.95,1543.41,10.81,-2947.23,-20.63,14721.26,1472.13,41
25,Entry long,2026-07-09,Long1,144.22,99,14277.78,1431.54,10.02,4.95,1543.41,10.81,-2947.23,-20.63,14721.26,1472.13,41
